Fecha de despacho Solicitada,node_id,n_pedidos,monto_total_nodo_dia,volumen_total_nodo_dia_m3,peso_total_nodo_dia_kg,lat_final,lon_final,direccion_normalizada,node_id_deposito,lat_deposito,lon_deposito,fecha,uso_capacidad_vol_pct,uso_capacidad_peso_pct,excede_volumen_camion,excede_peso_camion
2026-12-02,124,1,74718,3.098963,400.866,-33.5103234,-70.5845273,Av. Departamental 4795,0,-33.42748443128771,-70.68728138816309,2026-12-02,0.06886584444444445,0.0534488,False,False
2026-12-02,419,1,42545,1.183075,129.178,-33.519235429031845,-70.58115079491817,Av. La Florida 777,0,-33.42748443128771,-70.68728138816309,2026-12-02,0.026290555555555557,0.017223733333333335,False,False
2026-12-02,439,1,311310,0.473768,66.528,-33.393217,-70.544274,Av. Las Condes 1523,0,-33.42748443128771,-70.68728138816309,2026-12-02,0.010528177777777778,0.0088704,False,False
2026-12-02,470,1,142258,0.342226,50.063,-33.38904613999576,-70.54005416426546,Av. Las Condes 6424,0,-33.42748443128771,-70.68728138816309,2026-12-02,0.007605022222222222,0.006675066666666667,False,False
2026-12-02,717,1,123929,1.260186,188.366,-33.45799120274538,-70.64211682398948,Av. Matta 5370,0,-33.42748443128771,-70.68728138816309,2026-12-02,0.028004133333333334,0.02511546666666667,False,False
2026-12-02,777,1,206890,1.07184,152.983,-33.4792076,-70.7426405,Av. Pajaritos 4700,0,-33.42748443128771,-70.68728138816309,2026-12-02,0.023818666666666665,0.020397733333333334,False,False
2026-12-02,859,1,99454,0.283872,44.655,-33.42649830229008,-70.61543438396947,Av. Providencia 1687,0,-33.42748443128771,-70.68728138816309,2026-12-02,0.006308266666666667,0.005954,False,False
2026-12-02,1064,1,211246,0.7692950000000001,132.673,-33.4554611,-70.5566262,Av. Tobalaba 8026,0,-33.42748443128771,-70.68728138816309,2026-12-02,0.017095444444444444,0.017689733333333332,False,False
2026-12-02,1081,1,47974,0.009038,5.232,-33.44289517142857,-70.63342082571428,Av. Vicuña Mackenna 154,0,-33.42748443128771,-70.68728138816309,2026-12-02,0.00020084444444444443,0.0006976,False,False
2026-12-02,1489,1,319547,1.315903,190.574,-33.49914056964457,-70.7238758170349,Calle Arturo Prat 2535,0,-33.42748443128771,-70.68728138816309,2026-12-02,0.02924228888888889,0.02540986666666667,False,False
2026-12-02,1795,1,158040,0.830639,111.969,-33.43969907361054,-70.65168277752262,Calle Huérfanos 7037,0,-33.42748443128771,-70.68728138816309,2026-12-02,0.018458644444444446,0.014929199999999998,False,False
2026-12-02,2017,1,239305,0.959125,192.0,-33.459257552083336,-70.64931600624999,Calle San Diego 1071,0,-33.42748443128771,-70.68728138816309,2026-12-02,0.02131388888888889,0.0256,False,False
2026-12-02,2100,1,229807,0.685564,92.04,-33.442098310000006,-70.70665943,Calle Santo Domingo 5170,0,-33.42748443128771,-70.68728138816309,2026-12-02,0.015234755555555554,0.012272000000000002,False,False
2026-12-02,2137,1,132830,0.944574,143.076,-33.436656955578805,-70.65568127045138,Calle Teatinos 1289,0,-33.42748443128771,-70.68728138816309,2026-12-02,0.020990533333333335,0.019076799999999998,False,False
2026-12-03,69,1,183858,0.4828319999999999,56.571,-33.4146429,-70.5862581,Av. Apoquindo 4280,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.010729599999999997,0.0075428,False,False
2026-12-03,75,1,58647,0.16881,34.907,-33.4096712,-70.5703756,Av. Apoquindo 5706,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.003751333333333333,0.004654266666666666,False,False
2026-12-03,88,1,71728,0.031416,10.192,-33.4079671,-70.5555604,Av. Apoquindo 7097,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.0006981333333333334,0.0013589333333333333,False,False
2026-12-03,99,1,208315,0.074669,16.676000000000002,-33.41052665057889,-70.57323806478458,Av. Apoquindo 8832,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.001659311111111111,0.002223466666666667,False,False
2026-12-03,112,1,168422,0.481125,96.304,-33.49774282013423,-70.67137071879195,Av. Departamental 2287,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.010691666666666667,0.012840533333333334,False,False
2026-12-03,169,1,178002,1.259586,232.758,-33.4685194,-70.5785103,Av. Grecia 4946,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.027990800000000003,0.0310344,False,False
2026-12-03,187,1,112421,3.858722,488.323,-33.474217767999995,-70.55036291280001,Av. Grecia 7712,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.08574937777777779,0.06510973333333334,False,False
2026-12-03,215,1,200870,0.848647,167.541,-33.38621719285714,-70.67873796428572,Av. Independencia 4637,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.018858822222222224,0.0223388,False,False
2026-12-03,217,1,156899,0.222291,37.419,-33.385127250000004,-70.68005207307692,Av. Independencia 4810,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.004939799999999999,0.004989199999999999,False,False
2026-12-03,258,1,121313,0.07506,20.717,-33.453654,-70.6098817,Av. Irarrázaval 2033,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.001668,0.0027622666666666665,False,False
2026-12-03,296,1,94985,0.745546,121.338,-33.45318911472868,-70.62371892713178,Av. Irarrázaval 640,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.01656768888888889,0.0161784,False,False
2026-12-03,297,1,48218,0.201767,37.804,-33.45211752135792,-70.62996532946244,Av. Irarrázaval 6780,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.004483711111111111,0.005040533333333334,False,False
2026-12-03,302,1,82669,1.65258,231.903,-33.45211752135792,-70.62996532946244,Av. Irarrázaval 8302,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.036724,0.030920399999999997,False,False
2026-12-03,351,1,158204,0.866797,120.397,-33.3964731,-70.5674161,Av. Kennedy 6395,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.019262155555555556,0.016052933333333335,False,False
2026-12-03,359,1,187109,2.218962,256.803,-33.3938224,-70.5593847,Av. Kennedy 7331,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.049310266666666665,0.0342404,False,False
2026-12-03,380,1,170357,2.785992,391.82,-33.519235429031845,-70.58115079491817,Av. La Florida 1002,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.06191093333333333,0.052242666666666666,False,False
2026-12-03,386,1,144689,0.905824,185.289,-33.519235429031845,-70.58115079491817,Av. La Florida 2133,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.02012942222222222,0.024705199999999997,False,False
2026-12-03,418,1,118942,4.239399,505.552,-33.5223756,-70.5788854,Av. La Florida 7678,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.09420886666666665,0.06740693333333334,False,False
2026-12-03,440,1,73082,1.450181,222.207,-33.393217,-70.544274,Av. Las Condes 180,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.03222624444444444,0.0296276,False,False
2026-12-03,466,1,260585,2.018805,255.632,-33.38904613999576,-70.54005416426546,Av. Las Condes 599,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.04486233333333333,0.03408426666666667,False,False
2026-12-03,510,1,113234,0.408974,59.343,-33.4545525,-70.6933263,Av. Libertador Bernardo O Higgins 4192,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.009088311111111112,0.0079124,False,False
2026-12-03,536,1,316038,3.169764,425.347,-33.44378662227161,-70.65086273448715,Av. Libertador Bernardo O Higgins 9819,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.0704392,0.05671293333333333,False,False
2026-12-03,546,1,156946,1.40959,246.656,-33.47767395176471,-70.59879762117647,Av. Macul 2508,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.03132422222222222,0.03288746666666667,False,False
2026-12-03,569,1,145322,0.577669,83.3,-33.49707804581206,-70.59790889427815,Av. Macul 7795,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.012837088888888888,0.011106666666666666,False,False
2026-12-03,594,1,226689,3.905493,441.534,-33.450409379191655,-70.61310094459272,Av. Manuel Montt 3031,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.08678873333333333,0.0588712,False,False
2026-12-03,596,1,131893,0.262568,34.506,-33.432091364,-70.618345204,Av. Manuel Montt 401,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.005834844444444445,0.0046008,False,False
2026-12-03,610,1,91564,0.025684,10.598,-33.450409379191655,-70.61310094459272,Av. Manuel Montt 5734,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.0005707555555555555,0.0014130666666666667,False,False
2026-12-03,665,1,283566,0.22448,56.143,-33.432762,-70.686501,Av. Mapocho 6648,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.004988444444444445,0.007485733333333334,False,False
2026-12-03,712,1,84124,0.022742,6.409000000000001,-33.45799120274538,-70.64211682398948,Av. Matta 4672,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.0005053777777777777,0.0008545333333333335,False,False
2026-12-03,742,1,41473,0.074223,17.982,-33.45799120274538,-70.64211682398948,Av. Matta 9543,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.0016493999999999999,0.0023975999999999997,False,False
2026-12-03,744,1,107390,4.894504,609.031,-33.5179575,-70.7573922,Av. Pajaritos 1016,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.10876675555555557,0.08120413333333333,False,False
2026-12-03,766,1,88539,1.00603,197.406,-33.4931941,-70.7560064,Av. Pajaritos 3626,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.022356222222222222,0.026320800000000002,False,False
2026-12-03,780,1,140619,4.252727,550.225,-33.473179228571425,-70.7378717755102,Av. Pajaritos 5435,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.09450504444444445,0.07336333333333334,False,False
2026-12-03,783,1,325781,0.237597,62.264,-33.488076083068606,-70.75138480605311,Av. Pajaritos 5796,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.005279933333333334,0.008301866666666668,False,False
2026-12-03,795,1,124770,0.929949,130.326,-33.488076083068606,-70.75138480605311,Av. Pajaritos 7516,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.020665533333333333,0.017376799999999998,False,False
2026-12-03,805,1,112448,0.6149249999999999,114.05,-33.488076083068606,-70.75138480605311,Av. Pajaritos 9174,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.013664999999999998,0.015206666666666667,False,False
2026-12-03,828,1,132092,0.716423,153.987,-33.463943688,-70.606522622,Av. Pedro de Valdivia 4433,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.01592051111111111,0.0205316,False,False
2026-12-03,843,1,153079,0.024849,9.34,-33.446682,-70.605953,Av. Pedro de Valdivia 8264,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.0005522,0.0012453333333333333,False,False
2026-12-03,845,1,134426,0.400368,79.17,-33.446682,-70.605953,Av. Pedro de Valdivia 8517,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.008897066666666667,0.010556,False,False
2026-12-03,860,1,126552,0.2453679999999999,52.419,-33.4830035967742,-70.7436999967742,Av. Providencia 178,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.00545262222222222,0.006989199999999999,False,False
2026-12-03,878,1,178265,0.276869,36.71,-33.435086638100124,-70.62889344723304,Av. Providencia 4275,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.006152644444444444,0.004894666666666667,False,False
2026-12-03,886,1,288295,0.8928,131.547,-33.435086638100124,-70.62889344723304,Av. Providencia 4727,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.01984,0.0175396,False,False
2026-12-03,988,1,156474,0.32269,73.911,-33.470603450000006,-70.6422032,Av. Santa Rosa 5626,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.007170888888888888,0.0098548,False,False
2026-12-03,1034,1,180085,2.163363,238.139,-33.4315625,-70.5848894,Av. Tobalaba 3402,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.048074733333333335,0.03175186666666667,False,False
2026-12-03,1052,1,94377,0.855742,127.681,-33.5145717,-70.5596454,Av. Tobalaba 5892,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.019016488888888888,0.017024133333333333,False,False
2026-12-03,1076,1,54521,3.005691,379.049,-33.4912094,-70.556329,Av. Tobalaba 9986,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.06679313333333334,0.05053986666666666,False,False
2026-12-03,1112,1,89405,0.6854899999999999,100.819,-33.4486153,-70.6317957,Av. Vicuña Mackenna 578,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.01523311111111111,0.013442533333333334,False,False
2026-12-03,1124,1,219322,0.644218,128.115,-33.53269003199999,-70.59448258,Av. Vicuña Mackenna 8405,0,-33.42748443128771,-70.68728138816309,2026-12-03,0.014315955555555555,0.017082,False,False
