node_id,peso_total_kg,volumen_total_m3,n_pedidos,lat,lon,direccion_normalizada
1,114.952,0.888281,2,-33.48670313065888,-70.75193413844674,AV. AMÉRICO VESPUCIO 118
2,140.781,0.8551839999999999,2,-33.53273486046511,-70.68005871627906,AV. AMÉRICO VESPUCIO 1280
3,502.099,3.007612,3,-33.50218175714286,-70.74121781428572,AV. AMÉRICO VESPUCIO 1323
4,388.76599999999996,2.7970249999999997,2,-33.48655105825188,-70.75190483304881,AV. AMÉRICO VESPUCIO 136
5,168.297,1.233653,1,-33.46628361250001,-70.57492535,AV. AMÉRICO VESPUCIO 1428
6,289.765,1.45841,1,-33.471405971428574,-70.57650094285714,AV. AMÉRICO VESPUCIO 1736
7,983.708,6.943675,5,-33.47458170743243,-70.57790245202703,AV. AMÉRICO VESPUCIO 2037
8,655.405,4.579139,2,-33.47486357432432,-70.57795962027026,AV. AMÉRICO VESPUCIO 2071
9,219.685,1.604694,1,-33.476078076363635,-70.57821195272727,AV. AMÉRICO VESPUCIO 2389
10,78.676,0.528123,1,-33.5247055,-70.6007136,AV. AMÉRICO VESPUCIO 2795
11,384.581,2.884791,3,-33.5242701,-70.6002307,AV. AMÉRICO VESPUCIO 3402
12,305.14,2.521631,2,-33.5242694,-70.6002297,AV. AMÉRICO VESPUCIO 3407
13,133.237,0.615939,1,-33.5242312,-70.6001727,AV. AMÉRICO VESPUCIO 3680
14,502.888,3.930611,1,-33.49434567826087,-70.74626123913043,AV. AMÉRICO VESPUCIO 3713
15,283.928,1.8152249999999999,2,-33.53620667746478,-70.669017671831,AV. AMÉRICO VESPUCIO 382
16,83.459,0.47201,1,-33.53536625517241,-70.66966756551724,AV. AMÉRICO VESPUCIO 419
17,222.632,1.417331,1,-33.4947808,-70.5841217,AV. AMÉRICO VESPUCIO 4227
18,375.882,2.469994,2,-33.4960506,-70.5847781,AV. AMÉRICO VESPUCIO 4295
19,166.77599999999998,1.471157,1,-33.5353516,-70.6697136,AV. AMÉRICO VESPUCIO 439
20,75.12,0.35335,1,-33.5041148,-70.5889009,AV. AMÉRICO VESPUCIO 4422
21,318.365,2.481322,1,-33.497688,-70.5859894,AV. AMÉRICO VESPUCIO 4681
22,701.86,5.0563210000000005,4,-33.512983,-70.5938519,AV. AMÉRICO VESPUCIO 4961
23,286.432,1.740158,1,-33.5352436371134,-70.67211348041238,AV. AMÉRICO VESPUCIO 506
24,79.312,0.341872,1,-33.5006538,-70.5876718,AV. AMÉRICO VESPUCIO 5133
25,78.91300000000001,0.36537799999999987,3,-33.5010597,-70.5878376,AV. AMÉRICO VESPUCIO 5192
26,105.423,0.6698780000000001,1,-33.5079144,-70.5894649,AV. AMÉRICO VESPUCIO 5981
27,807.3309999999999,6.820702000000001,2,-33.534652334408605,-70.67221010860216,AV. AMÉRICO VESPUCIO 609
28,401.098,2.805301,2,-33.5100601,-70.5906087,AV. AMÉRICO VESPUCIO 6368
29,171.087,1.065408,2,-33.5129982,-70.5904433,AV. AMÉRICO VESPUCIO 6473
30,340.425,2.847821,1,-33.51594226666667,-70.5927411962963,AV. AMÉRICO VESPUCIO 6680
31,104.282,0.551546,1,-33.518222,-70.5946949,AV. AMÉRICO VESPUCIO 7052
32,16.483999999999998,0.1112479999999999,1,-33.518261,-70.594721,AV. AMÉRICO VESPUCIO 7059
33,77.50999999999999,0.347146,1,-33.5226763,-70.5980529,AV. AMÉRICO VESPUCIO 7437
34,276.528,2.042744,1,-33.52372820625,-70.59914443125001,AV. AMÉRICO VESPUCIO 7510
35,216.173,1.420627,2,-33.5264621,-70.6027895,AV. AMÉRICO VESPUCIO 7807
36,116.342,0.720121,1,-33.5291935,-70.603981,AV. AMÉRICO VESPUCIO 8124
37,339.193,2.52897,2,-33.53966451445783,-70.65476811204819,AV. AMÉRICO VESPUCIO 813
38,504.164,3.8335600000000003,2,-33.533024895454545,-70.60717300909091,AV. AMÉRICO VESPUCIO 8573
39,79.65899999999999,0.48716099999999996,2,-33.5342347,-70.6072592,AV. AMÉRICO VESPUCIO 8714
40,91.804,0.6210239999999999,2,-33.53484070526316,-70.60840322105263,AV. AMÉRICO VESPUCIO 8747
41,85.456,0.501368,1,-33.5392377,-70.6538016,AV. AMÉRICO VESPUCIO 898
42,191.471,1.121944,2,-33.396238,-70.619819,AV. AMÉRICO VESPUCIO 9118
43,156.85399999999998,1.156489,1,-33.50429212703239,-70.58866895633273,AV. AMÉRICO VESPUCIO 9492
44,499.663,4.201727,2,-33.50429212703239,-70.58866895633273,AV. AMÉRICO VESPUCIO 9745
45,53.097,0.2962189999999999,1,-33.396238,-70.619819,AV. AMÉRICO VESPUCIO 9821
46,184.84699999999998,0.9247150000000001,2,-33.4153999,-70.5895295,AV. APOQUINDO 1014
47,405.198,3.0559339999999997,2,-33.4154018,-70.5895388,AV. APOQUINDO 1062
48,431.49300000000005,3.363988,3,-33.4154092,-70.5895753,AV. APOQUINDO 1250
49,315.262,2.349329,1,-33.4154095,-70.5895766,AV. APOQUINDO 1257
50,17.086000000000002,0.178672,1,-33.4154151,-70.5896044,AV. APOQUINDO 1400
51,473.275,3.002036,3,-33.4154179,-70.5896179,AV. APOQUINDO 1470
52,204.771,1.660091,2,-33.4154213,-70.5896346,AV. APOQUINDO 1556
53,182.25,1.30542,1,-33.4154282,-70.5896684,AV. APOQUINDO 1730
54,125.268,0.844085,1,-33.415432,-70.5896872,AV. APOQUINDO 1827
55,388.46,3.067584,3,-33.4154357,-70.5897048,AV. APOQUINDO 1918
56,255.48000000000002,1.442797,2,-33.4154441,-70.5897451,AV. APOQUINDO 2126
57,63.03,0.528297,1,-33.4154493,-70.5897701,AV. APOQUINDO 2255
58,102.968,0.8825620000000001,1,-33.4153693,-70.5893796,AV. APOQUINDO 241
59,236.723,1.778178,1,-33.4154605,-70.5898236,AV. APOQUINDO 2531
60,148.892,1.076395,1,-33.4153709,-70.5893875,AV. APOQUINDO 282
61,59.782,0.470908,1,-33.4156958,-70.5909767,AV. APOQUINDO 2899
62,41.795,0.247166,1,-33.4157335,-70.5911617,AV. APOQUINDO 2937
63,292.712,2.139764,2,-33.4160233,-70.5925832,AV. APOQUINDO 3229
64,347.572,2.243201,2,-33.4162004,-70.5935737,AV. APOQUINDO 3481
65,164.371,1.099658,2,-33.415742,-70.5916076,AV. APOQUINDO 3723
66,599.5830000000001,3.910439,3,-33.4156139,-70.590686,AV. APOQUINDO 3809
67,490.707,3.105179,4,-33.4155624,-70.5905938,AV. APOQUINDO 3829
68,500.00499999999994,2.28133,3,-33.4149419,-70.5873076,AV. APOQUINDO 4174
69,550.017,2.8908929999999997,4,-33.4146429,-70.5862581,AV. APOQUINDO 4280
70,176.405,1.501067,1,-33.4144051,-70.5848146,AV. APOQUINDO 4370
71,864.597,7.016576,3,-33.41176647391304,-70.57669653478261,AV. APOQUINDO 4985
72,56.375,0.208566,1,-33.41174709710145,-70.57663922608695,AV. APOQUINDO 4999
73,36.223,0.085158,1,-33.410819,-70.5744195,AV. APOQUINDO 5199
74,301.212,1.752296,2,-33.4105269,-70.5735037,AV. APOQUINDO 5322
75,34.907,0.16881,1,-33.4096712,-70.5703756,AV. APOQUINDO 5706
76,316.714,3.2514000000000003,2,-33.4096279,-70.5702874,AV. APOQUINDO 5742
77,448.766,2.893593,2,-33.4153833,-70.5894482,AV. APOQUINDO 595
78,81.68299999999999,0.5590350000000001,1,-33.409108,-70.568617,AV. APOQUINDO 5952
79,31.642,0.293878,1,-33.40932678484848,-70.56787636565656,AV. APOQUINDO 5983
80,40.784000000000006,0.2376909999999999,2,-33.408421,-70.5656629,AV. APOQUINDO 6239
81,197.088,1.128573,1,-33.40754834117647,-70.56302479882353,AV. APOQUINDO 6462
82,1174.754,7.846738,4,-33.4075428882353,-70.56299911176471,AV. APOQUINDO 6480
83,149.089,0.966423,1,-33.40761917272727,-70.56008721590908,AV. APOQUINDO 6693
84,101.632,0.873062,1,-33.407626154545454,-70.55991624318182,AV. APOQUINDO 6717
85,340.514,2.338977,3,-33.40743766875,-70.5588590375,AV. APOQUINDO 6788
86,287.115,1.685102,2,-33.40787,-70.5570551,AV. APOQUINDO 6999
87,120.30199999999999,0.9075430000000001,2,-33.4079286,-70.5563587,AV. APOQUINDO 7063
88,10.192,0.031416,1,-33.4079671,-70.5555604,AV. APOQUINDO 7097
89,213.653,1.522022,1,-33.4084938,-70.5527215,AV. APOQUINDO 7403
90,1.793,0.006152,1,-33.408415,-70.5522854,AV. APOQUINDO 7413
91,340.257,2.5226170000000003,2,-33.40802746666667,-70.54867396666667,AV. APOQUINDO 7890
92,185.142,1.071156,1,-33.40802544444445,-70.5486510111111,AV. APOQUINDO 7900
93,154.275,0.8874960000000001,1,-33.4153911,-70.5894866,AV. APOQUINDO 793
94,14.895,0.036834,1,-33.4081861,-70.5485838,AV. APOQUINDO 8025
95,235.039,1.5240879999999999,2,-33.41052665057889,-70.57323806478458,AV. APOQUINDO 8406
96,202.597,0.786455,1,-33.41052665057889,-70.57323806478458,AV. APOQUINDO 8523
97,251.717,1.824036,1,-33.4153941,-70.5895012,AV. APOQUINDO 868
98,93.192,0.462103,1,-33.41052665057889,-70.57323806478458,AV. APOQUINDO 8692
99,16.676000000000002,0.074669,1,-33.41052665057889,-70.57323806478458,AV. APOQUINDO 8832
100,18.942,0.123203,1,-33.41052665057889,-70.57323806478458,AV. APOQUINDO 9417
101,528.958,3.9520229999999996,2,-33.41052665057889,-70.57323806478458,AV. APOQUINDO 9524
102,233.07600000000002,1.62185,3,-33.5038862,-70.6533757,AV. DEPARTAMENTAL 1018
103,273.475,1.989971,2,-33.507718075,-70.61868809166667,AV. DEPARTAMENTAL 129
104,127.092,0.693756,1,-33.5019141,-70.6604012,AV. DEPARTAMENTAL 1364
105,108.003,0.506588,1,-33.5094842,-70.5954497,AV. DEPARTAMENTAL 1582
106,596.276,3.6771570000000002,4,-33.5014507,-70.6629139,AV. DEPARTAMENTAL 1600
107,561.559,3.656716,3,-33.5010829,-70.6637647,AV. DEPARTAMENTAL 1684
108,219.63799999999998,1.823577,3,-33.49795693355705,-70.67108799798659,AV. DEPARTAMENTAL 2113
109,377.973,2.2904020000000003,3,-33.49818419873417,-70.67145177848101,AV. DEPARTAMENTAL 2164
110,458.833,2.935212,2,-33.49783141879195,-70.6712537308725,AV. DEPARTAMENTAL 2215
111,575.298,3.9889219999999996,2,-33.507795,-70.6232996,AV. DEPARTAMENTAL 223
112,230.948,1.474506,3,-33.49774282013423,-70.67137071879195,AV. DEPARTAMENTAL 2287
113,236.553,1.27318,3,-33.49639758636363,-70.67380454545456,AV. DEPARTAMENTAL 2586
114,338.87699999999995,2.3212650000000004,3,-33.49445476,-70.67561208,AV. DEPARTAMENTAL 2933
115,649.2959999999999,4.871437,2,-33.5115668,-70.5715826,AV. DEPARTAMENTAL 2969
116,239.968,1.358788,3,-33.51158432,-70.5713804,AV. DEPARTAMENTAL 2987
117,208.655,1.341601,1,-33.4937088,-70.6773872,AV. DEPARTAMENTAL 3188
118,43.895,0.293435,1,-33.5038438,-70.6231875,AV. DEPARTAMENTAL 3490
119,243.89499999999998,1.956906,2,-33.4906244,-70.6807458,AV. DEPARTAMENTAL 3715
120,187.947,1.205516,1,-33.4895046,-70.6820987,AV. DEPARTAMENTAL 3939
121,95.696,0.6938909999999999,1,-33.4884584,-70.6838303,AV. DEPARTAMENTAL 4173
122,33.3,0.153525,1,-33.4883406,-70.6840054,AV. DEPARTAMENTAL 4187
123,428.091,3.313577,2,-33.5094625,-70.5941952,AV. DEPARTAMENTAL 4341
124,710.767,5.249947,4,-33.5103234,-70.5845273,AV. DEPARTAMENTAL 4795
125,413.706,3.191035,2,-33.5103887,-70.583477,AV. DEPARTAMENTAL 4836
