numero_orden,peso_total_kg,volumen_total_m3,lineas,unidades,skus_distintos,direccion_normalizada,lat,lon,node_id,tiene_nodo
ORD-CL-202612-000001,188.366,1.260186,25,115,25,AV. MATTA 5370,-33.45799120274538,-70.64211682398948,717,True
ORD-CL-202612-000002,505.552,4.239399,20,106,19,AV. LA FLORIDA 7678,-33.5223756,-70.5788854,418,True
ORD-CL-202612-000003,236.554,1.898356,14,48,14,AV. KENNEDY 5315,-33.4008463,-70.5787572,340,True
ORD-CL-202612-000004,317.365,2.5140629999999997,21,84,21,CALLE SAN ANTONIO 8832,-33.43487534738776,-70.64887247008978,2003,True
ORD-CL-202612-000005,245.26399999999998,1.1887210000000001,21,113,21,CALLE CATEDRAL 6899,-33.438738201983064,-70.66443720992424,1619,True
ORD-CL-202612-000006,113.683,0.63953,11,61,11,CALLE CATEDRAL 9181,-33.438738201983064,-70.66443720992424,1630,True
ORD-CL-202612-000007,295.653,2.4048499999999997,21,106,21,CALLE ESTADO 5634,-33.43949515564987,-70.64953513821996,1724,True
ORD-CL-202612-000008,68.827,0.451168,6,32,6,AV. MANUEL MONTT 685,-33.43437371428571,-70.61696167142857,619,True
ORD-CL-202612-000009,256.803,2.218962,15,98,15,AV. KENNEDY 7331,-33.3938224,-70.5593847,359,True
ORD-CL-202612-000010,164.668,0.894081,13,67,13,AVENIDA AMÉRICO VESPUCIO 2389,-33.476078076363635,-70.57821195272727,1180,True
ORD-CL-202612-000011,550.225,4.252727,19,128,19,AV. PAJARITOS 5435,-33.473179228571425,-70.7378717755102,780,True
ORD-CL-202612-000012,41.049,0.223935,5,30,5,AV. GRECIA 5499,-33.46821033574976,-70.57937655427114,172,True
ORD-CL-202612-000013,34.506,0.262568,7,27,7,AV. MANUEL MONTT 401,-33.432091364,-70.618345204,596,True
ORD-CL-202612-000014,73.385,0.393231,16,54,16,CALLE SAN ANTONIO 9747,-33.43487534738776,-70.64887247008978,2013,True
ORD-CL-202612-000015,74.433,0.26640600000000003,7,29,7,CALLE MORANDÉ 6751,-33.43452185756808,-70.65443829443069,1939,True
ORD-CL-202612-000016,41.795,0.247166,8,21,8,AV. APOQUINDO 2937,-33.4157335,-70.5911617,62,True
