fecha,ventana,cluster_id_dia,n_nodos,volumen_total_cluster_m3,peso_total_cluster_kg,num_rutas,km_totales,tiempo_solver_seg
2026-12-02,AM,1,14,13.228,1900.203,1,66.999,0.127
2026-12-03,AM,1,18,17.583,2493.972,1,56.835,0.093
2026-12-03,AM,2,18,28.882,4209.619,1,57.744,0.063
2026-12-03,AM,3,18,18.669,2831.125,1,34.571,0.069
2026-12-03,PM,4,18,18.103,2579.202,1,29.345,0.067
2026-12-03,PM,5,12,11.092,1617.008,1,19.212,0.049
2026-12-04,AM,2,18,22.508,3255.082,1,48.409,0.142
2026-12-04,AM,3,18,23.955,3469.237,1,36.071,0.057
2026-12-04,AM,5,18,24.725,3494.16,1,18.385,0.059
2026-12-04,PM,1,18,16.588,2384.916,1,49.076,0.067
2026-12-04,PM,4,18,18.222,2842.042,1,29.284,0.065
2026-12-04,PM,6,12,12.638,1747.75,1,25.973,0.05
2026-12-05,AM,1,18,22.886,3236.233,1,45.162,0.086
2026-12-05,AM,2,18,23.942,3502.905,1,44.531,0.087
2026-12-05,AM,4,18,25.714,3408.032,1,34.148,0.055
2026-12-05,AM,6,18,24.156,3512.663,1,27.325,0.055
2026-12-05,PM,3,18,14.617,2023.45,1,38.918,0.051
2026-12-05,PM,5,18,18.049,2548.32,1,25.377,0.054
2026-12-05,PM,7,7,8.136,1115.195,1,13.394,0.034
2026-12-06,AM,1,18,16.039,2362.935,1,31.136,0.095
2026-12-06,AM,2,18,18.871,2771.783,1,52.749,0.064
2026-12-06,AM,3,18,20.509,2995.7,1,43.007,0.055
2026-12-06,AM,5,18,20.987,2983.689,1,28.158,0.061
2026-12-06,PM,4,18,17.78,2735.33,1,25.71,0.067
2026-12-06,PM,6,18,21.15,3094.913,1,14.452,0.078
2026-12-06,PM,7,5,4.621,683.584,1,18.836,0.057
2026-12-07,AM,1,18,20.79,3034.582,1,33.626,0.07
2026-12-07,AM,2,18,27.018,3712.685,1,64.34,0.09
2026-12-07,AM,3,18,29.621,4451.258,1,38.922,0.059
2026-12-07,AM,5,18,24.672,3490.811,1,29.689,0.062
2026-12-07,PM,4,18,24.611,3319.486,1,29.68,0.089
