fecha,ventana,cluster_id_dia,n_nodos,n_nodos_servidos,n_nodos_no_servidos,volumen_total_cluster_m3,peso_total_cluster_kg,num_rutas,km_totales,tiempo_solver_seg
2026-12-02,AM,1,14,14,0,13.228,1900.203,2,94.415,0.176
2026-12-03,AM,1,16,16,0,15.277,2104.609,2,61.059,0.064
2026-12-03,AM,3,17,17,0,15.922,2375.985,2,49.038,0.12
2026-12-03,AM,5,18,18,0,15.598,2284.737,2,52.44,0.059
2026-12-03,AM,6,6,6,0,12.664,1824.827,2,61.868,0.058
2026-12-03,PM,2,10,10,0,13.778,2092.646,2,52.492,0.052
2026-12-03,PM,4,15,15,0,15.995,2414.889,2,25.422,0.049
2026-12-03,PM,7,2,2,0,5.095,633.233,1,31.853,0.04
2026-12-04,AM,1,15,15,0,15.221,2191.135,2,60.84,0.046
2026-12-04,AM,2,15,15,0,13.904,1961.069,2,54.896,0.049
2026-12-04,AM,3,9,9,0,15.334,2258.57,2,55.113,0.045
2026-12-04,AM,7,13,13,0,13.356,2049.575,2,51.375,0.043
2026-12-04,AM,8,12,12,0,15.515,2222.583,2,69.898,0.042
2026-12-04,PM,4,13,13,0,15.538,2231.063,2,15.397,0.043
2026-12-04,PM,5,12,12,0,15.34,2193.789,2,19.244,0.043
2026-12-04,PM,6,12,12,0,13.166,1894.436,2,34.042,0.059
2026-12-04,PM,9,1,1,0,1.262,190.967,1,33.684,0.056
2026-12-05,AM,1,11,11,0,15.813,2228.98,2,54.794,0.046
2026-12-05,AM,2,13,13,0,15.549,2243.659,2,75.59,0.044
2026-12-05,AM,4,18,18,0,14.279,2137.42,2,56.595,0.052
2026-12-05,AM,7,16,16,0,15.995,2315.775,2,16.547,0.051
2026-12-05,AM,9,18,18,0,15.195,2261.163,2,68.999,0.059
2026-12-05,PM,10,3,3,0,2.52,327.084,1,35.216,0.039
2026-12-05,PM,3,9,9,0,15.424,2079.016,2,45.563,0.037
2026-12-05,PM,5,5,5,0,11.317,1521.967,2,10.368,0.043
2026-12-05,PM,6,8,8,0,15.638,2096.885,2,14.845,0.042
2026-12-05,PM,8,14,14,0,15.771,2134.849,2,27.347,0.04
2026-12-06,AM,1,17,17,0,13.342,2027.926,2,56.654,0.045
2026-12-06,AM,3,16,16,0,15.014,2318.963,2,58.835,0.042
2026-12-06,AM,4,17,17,0,15.936,2425.992,2,48.671,0.043
2026-12-06,AM,8,8,8,0,14.157,1855.108,2,67.023,0.038
2026-12-06,PM,2,12,12,0,15.998,2257.971,2,78.261,0.039
2026-12-06,PM,5,17,17,0,15.118,2096.482,2,16.201,0.043
2026-12-06,PM,6,11,11,0,15.593,2270.101,2,23.281,0.039
