fecha,ventana,cluster_id_dia,n_nodos_cluster,volumen_total_cluster_m3,peso_total_cluster_kg,num_rutas_cluster,km_totales_cluster,ruta_id,ruta,num_clientes,volumen_m3,peso_kg,km_ruta,tiempo_viaje_h,tiempo_servicio_h,descanso_h,tiempo_total_h,utilizacion_vol_pct,utilizacion_peso_pct
2026-12-02,AM,1,8,6.315,918.021,1,60.901,1,"[0, 2100, 777, 1489, 2017, 859, 439, 470, 419, 0]",8,6.315,918.021,60.901,2.436,1.333,0.5,4.269,70.17,30.6
2026-12-02,PM,2,6,6.913,982.182,1,34.242,1,"[0, 2137, 1795, 1081, 717, 124, 1064, 0]",6,6.913,982.182,34.242,1.37,1.0,0.0,2.37,76.81,32.74
2026-12-03,AM,1,12,8.81,1234.21,1,37.949,1,"[0, 217, 215, 1408, 1240, 69, 99, 75, 351, 359, 88, 440, 466, 0]",12,8.81,1234.21,37.949,1.544,2.0,0.0,3.544,97.89,41.14
2026-12-03,AM,11,9,8.944,1136.621,1,16.055,1,"[0, 2158, 2160, 2166, 2177, 1834, 594, 610, 843, 845, 0]",9,8.944,1136.621,16.055,0.642,1.5,0.0,2.142,99.38,37.89
2026-12-03,AM,12,12,8.516,1371.264,1,11.111,1,"[0, 2191, 1924, 1939, 1968, 1970, 1991, 1999, 2003, 2009, 1871, 1891, 878, 0]",12,8.516,1371.264,11.111,0.444,2.0,0.0,2.444,94.63,45.71
2026-12-03,AM,2,6,8.773,1259.762,1,24.249,1,"[0, 780, 783, 795, 805, 766, 1960, 0]",6,8.773,1259.762,24.249,0.97,1.0,0.0,1.97,97.48,41.99
2026-12-03,AM,4,6,7.122,1104.336,1,39.483,1,"[0, 665, 2126, 2052, 112, 2205, 1124, 0]",6,7.122,1104.336,39.483,1.579,1.0,0.0,2.579,79.14,36.81
2026-12-03,AM,6,6,8.316,1290.01,1,28.438,1,"[0, 1593, 1479, 569, 1257, 380, 386, 0]",6,8.316,1290.01,28.438,1.138,1.0,0.0,2.138,92.4,43.0
2026-12-03,AM,8,5,7.988,1160.855,1,28.177,1,"[0, 536, 297, 828, 1180, 1076, 0]",5,7.988,1160.855,28.177,1.127,0.833,0.0,1.96,88.75,38.7
2026-12-03,PM,10,3,5.641,803.161,1,27.452,1,"[0, 1744, 258, 187, 0]",3,5.641,803.161,27.452,1.098,0.5,0.0,1.598,62.68,26.77
