fecha,ventana,cluster_id_dia,ruta_id,orden_visita,node_id,es_deposito,km_ruta,tiempo_total_h,volumen_ruta_m3,peso_ruta_kg,tipo,direccion_original,direccion_normalizada,lat,lon
2026-12-02,AM,1,1,0,0,1,41.116,3.22,8.841,1310.877,deposito,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile","POETA PEDRO PRADO 1556, SANTIAGO, QUINTA NORMAL, REGIÓN METROPOLITANA, CHILE",-33.42748443128771,-70.68728138816309
2026-12-02,AM,1,1,1,2100,0,41.116,3.22,8.841,1310.877,cliente,Calle Santo Domingo 5170,CALLE SANTO DOMINGO 5170,-33.442098310000006,-70.70665943
2026-12-02,AM,1,1,2,2137,0,41.116,3.22,8.841,1310.877,cliente,Calle Teatinos 1289,CALLE TEATINOS 1289,-33.436656955578805,-70.65568127045138
2026-12-02,AM,1,1,3,1795,0,41.116,3.22,8.841,1310.877,cliente,Calle Huérfanos 7037,CALLE HUÉRFANOS 7037,-33.43969907361054,-70.65168277752262
2026-12-02,AM,1,1,4,2017,0,41.116,3.22,8.841,1310.877,cliente,Calle San Diego 1071,CALLE SAN DIEGO 1071,-33.459257552083336,-70.64931600624999
2026-12-02,AM,1,1,5,717,0,41.116,3.22,8.841,1310.877,cliente,Av. Matta 5370,AV. MATTA 5370,-33.45799120274538,-70.64211682398948
2026-12-02,AM,1,1,6,1081,0,41.116,3.22,8.841,1310.877,cliente,Av. Vicuña Mackenna 154,AV. VICUÑA MACKENNA 154,-33.44289517142857,-70.63342082571428
2026-12-02,AM,1,1,7,859,0,41.116,3.22,8.841,1310.877,cliente,Av. Providencia 1687,AV. PROVIDENCIA 1687,-33.42649830229008,-70.61543438396947
2026-12-02,AM,1,1,8,1064,0,41.116,3.22,8.841,1310.877,cliente,Av. Tobalaba 8026,AV. TOBALABA 8026,-33.4554611,-70.5566262
2026-12-02,AM,1,1,9,124,0,41.116,3.22,8.841,1310.877,cliente,Av. Departamental 4795,AV. DEPARTAMENTAL 4795,-33.5103234,-70.5845273
2026-12-02,AM,1,1,10,0,1,41.116,3.22,8.841,1310.877,deposito,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile","POETA PEDRO PRADO 1556, SANTIAGO, QUINTA NORMAL, REGIÓN METROPOLITANA, CHILE",-33.42748443128771,-70.68728138816309
2026-12-02,AM,1,2,0,0,1,53.299,3.465,4.387,589.326,deposito,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile","POETA PEDRO PRADO 1556, SANTIAGO, QUINTA NORMAL, REGIÓN METROPOLITANA, CHILE",-33.42748443128771,-70.68728138816309
2026-12-02,AM,1,2,1,777,0,53.299,3.465,4.387,589.326,cliente,Av. Pajaritos 4700,AV. PAJARITOS 4700,-33.4792076,-70.7426405
2026-12-02,AM,1,2,2,1489,0,53.299,3.465,4.387,589.326,cliente,Calle Arturo Prat 2535,CALLE ARTURO PRAT 2535,-33.49914056964457,-70.7238758170349
2026-12-02,AM,1,2,3,419,0,53.299,3.465,4.387,589.326,cliente,Av. La Florida 777,AV. LA FLORIDA 777,-33.519235429031845,-70.58115079491817
2026-12-02,AM,1,2,4,439,0,53.299,3.465,4.387,589.326,cliente,Av. Las Condes 1523,AV. LAS CONDES 1523,-33.393217,-70.544274
2026-12-02,AM,1,2,5,470,0,53.299,3.465,4.387,589.326,cliente,Av. Las Condes 6424,AV. LAS CONDES 6424,-33.38904613999576,-70.54005416426546
2026-12-02,AM,1,2,6,0,1,53.299,3.465,4.387,589.326,deposito,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile","POETA PEDRO PRADO 1556, SANTIAGO, QUINTA NORMAL, REGIÓN METROPOLITANA, CHILE",-33.42748443128771,-70.68728138816309
2026-12-03,AM,1,1,0,0,1,37.949,3.544,8.81,1234.21,deposito,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile","POETA PEDRO PRADO 1556, SANTIAGO, QUINTA NORMAL, REGIÓN METROPOLITANA, CHILE",-33.42748443128771,-70.68728138816309
2026-12-03,AM,1,1,1,217,0,37.949,3.544,8.81,1234.21,cliente,Av. Independencia 4810,AV. INDEPENDENCIA 4810,-33.385127250000004,-70.68005207307692
2026-12-03,AM,1,1,2,215,0,37.949,3.544,8.81,1234.21,cliente,Av. Independencia 4637,AV. INDEPENDENCIA 4637,-33.38621719285714,-70.67873796428572
2026-12-03,AM,1,1,3,1408,0,37.949,3.544,8.81,1234.21,cliente,Avenida Vitacura 713,AVENIDA VITACURA 713,-33.4178406,-70.6052487
2026-12-03,AM,1,1,4,1240,0,37.949,3.544,8.81,1234.21,cliente,Avenida Kennedy 3695,AVENIDA KENNEDY 3695,-33.4055216,-70.5917304
2026-12-03,AM,1,1,5,69,0,37.949,3.544,8.81,1234.21,cliente,Av. Apoquindo 4280,AV. APOQUINDO 4280,-33.4146429,-70.5862581
2026-12-03,AM,1,1,6,99,0,37.949,3.544,8.81,1234.21,cliente,Av. Apoquindo 8832,AV. APOQUINDO 8832,-33.41052665057889,-70.57323806478458
2026-12-03,AM,1,1,7,75,0,37.949,3.544,8.81,1234.21,cliente,Av. Apoquindo 5706,AV. APOQUINDO 5706,-33.4096712,-70.5703756
2026-12-03,AM,1,1,8,351,0,37.949,3.544,8.81,1234.21,cliente,Av. Kennedy 6395,AV. KENNEDY 6395,-33.3964731,-70.5674161
2026-12-03,AM,1,1,9,359,0,37.949,3.544,8.81,1234.21,cliente,Av. Kennedy 7331,AV. KENNEDY 7331,-33.3938224,-70.5593847
2026-12-03,AM,1,1,10,88,0,37.949,3.544,8.81,1234.21,cliente,Av. Apoquindo 7097,AV. APOQUINDO 7097,-33.4079671,-70.5555604
2026-12-03,AM,1,1,11,440,0,37.949,3.544,8.81,1234.21,cliente,Av. Las Condes 180,AV. LAS CONDES 180,-33.393217,-70.544274
2026-12-03,AM,1,1,12,466,0,37.949,3.544,8.81,1234.21,cliente,Av. Las Condes 599,AV. LAS CONDES 599,-33.38904613999576,-70.54005416426546
2026-12-03,AM,1,1,13,0,1,37.949,3.544,8.81,1234.21,deposito,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile","POETA PEDRO PRADO 1556, SANTIAGO, QUINTA NORMAL, REGIÓN METROPOLITANA, CHILE",-33.42748443128771,-70.68728138816309
2026-12-03,AM,1,2,0,0,1,24.249,1.97,8.773,1259.762,deposito,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile","POETA PEDRO PRADO 1556, SANTIAGO, QUINTA NORMAL, REGIÓN METROPOLITANA, CHILE",-33.42748443128771,-70.68728138816309
2026-12-03,AM,1,2,1,780,0,24.249,1.97,8.773,1259.762,cliente,Av. Pajaritos 5435,AV. PAJARITOS 5435,-33.473179228571425,-70.7378717755102
2026-12-03,AM,1,2,2,783,0,24.249,1.97,8.773,1259.762,cliente,Av. Pajaritos 5796,AV. PAJARITOS 5796,-33.488076083068606,-70.75138480605311
2026-12-03,AM,1,2,3,795,0,24.249,1.97,8.773,1259.762,cliente,Av. Pajaritos 7516,AV. PAJARITOS 7516,-33.488076083068606,-70.75138480605311
2026-12-03,AM,1,2,4,805,0,24.249,1.97,8.773,1259.762,cliente,Av. Pajaritos 9174,AV. PAJARITOS 9174,-33.488076083068606,-70.75138480605311
2026-12-03,AM,1,2,5,766,0,24.249,1.97,8.773,1259.762,cliente,Av. Pajaritos 3626,AV. PAJARITOS 3626,-33.4931941,-70.7560064
2026-12-03,AM,1,2,6,1960,0,24.249,1.97,8.773,1259.762,cliente,Calle San Antonio 1509,CALLE SAN ANTONIO 1509,-33.4302699,-70.7676359
2026-12-03,AM,1,2,7,0,1,24.249,1.97,8.773,1259.762,deposito,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile","POETA PEDRO PRADO 1556, SANTIAGO, QUINTA NORMAL, REGIÓN METROPOLITANA, CHILE",-33.42748443128771,-70.68728138816309
2026-12-03,AM,2,1,0,0,1,44.343,3.643,8.864,1491.308,deposito,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile","POETA PEDRO PRADO 1556, SANTIAGO, QUINTA NORMAL, REGIÓN METROPOLITANA, CHILE",-33.42748443128771,-70.68728138816309
2026-12-03,AM,2,1,1,665,0,44.343,3.643,8.864,1491.308,cliente,Av. Mapocho 6648,AV. MAPOCHO 6648,-33.432762,-70.686501
2026-12-03,AM,2,1,2,2108,0,44.343,3.643,8.864,1491.308,cliente,Calle Santo Domingo 6777,CALLE SANTO DOMINGO 6777,-33.438971360737774,-70.68787532598256
2026-12-03,AM,2,1,3,2126,0,44.343,3.643,8.864,1491.308,cliente,Calle Santo Domingo 9121,CALLE SANTO DOMINGO 9121,-33.438971360737774,-70.68787532598256
2026-12-03,AM,2,1,4,510,0,44.343,3.643,8.864,1491.308,cliente,Av. Libertador Bernardo O Higgins 4192,AV. LIBERTADOR BERNARDO O HIGGINS 4192,-33.4545525,-70.6933263
2026-12-03,AM,2,1,5,860,0,44.343,3.643,8.864,1491.308,cliente,Av. Providencia 178,AV. PROVIDENCIA 178,-33.4830035967742,-70.7436999967742
