fecha,ventana,cluster_id_dia,ruta_id,distancia_osrm_km,duracion_osrm_h
2026-12-10,AM,1,1,45.372,1.159
2026-12-10,AM,1,2,40.199,0.858
2026-12-10,AM,10,1,54.571,1.125
2026-12-10,AM,10,2,57.913,1.073
2026-12-10,AM,3,1,38.912,1.005
2026-12-10,AM,3,2,38.106,0.874
2026-12-10,AM,8,1,26.492,0.689
2026-12-10,AM,8,2,23.539,0.605
2026-12-10,AM,9,1,54.056,1.344
2026-12-10,AM,9,2,38.979,0.872
2026-12-10,PM,2,1,50.958,1.121
2026-12-10,PM,2,2,47.958,0.957
2026-12-10,PM,4,1,36.955,0.911
2026-12-10,PM,4,2,39.768,0.708
2026-12-10,PM,5,1,13.487,0.397
2026-12-10,PM,5,2,13.124,0.39
2026-12-10,PM,6,1,12.373,0.317
2026-12-10,PM,6,2,13.433,0.344
2026-12-10,PM,7,1,14.407,0.424
2026-12-10,PM,7,2,14.043,0.348
