ruta_id,ruta,num_clientes,volumen_m3,peso_kg,km_ruta,tiempo_viaje_h,tiempo_servicio_h,descanso_h,tiempo_total_h,utilizacion_vol_pct,utilizacion_peso_pct
1,"[0, 633, 634, 635, 636, 637, 638, 640, 641, 643, 647, 649, 650, 651, 652, 653, 654, 655, 656, 657, 658, 226, 232, 240, 720, 289, 0]",25,44.998,6492.233,15.01,0.6,4.167,0.0,4.767,99.99,86.56
2,"[0, 659, 660, 661, 662, 663, 664, 665, 666, 667, 668, 669, 670, 671, 672, 673, 674, 675, 676, 677, 678, 679, 681, 683, 684, 241, 475, 90, 0]",27,44.995,6378.175,26.508,1.06,4.5,0.0,5.56,99.99,85.04
3,"[0, 680, 682, 685, 686, 687, 688, 646, 644, 645, 642, 648, 639, 202, 224, 225, 227, 229, 230, 128, 0]",19,44.994,6620.664,29.166,1.167,3.167,0.0,4.333,99.99,88.28
4,"[0, 501, 502, 504, 503, 505, 506, 507, 508, 509, 510, 511, 512, 513, 515, 521, 782, 781, 780, 779, 776, 860, 783, 772, 0]",23,44.995,6421.963,20.654,0.826,3.833,0.0,4.659,99.99,85.63
5,"[0, 500, 499, 498, 496, 495, 497, 516, 517, 519, 520, 524, 526, 528, 529, 531, 534, 535, 494, 491, 724, 407, 0]",21,44.978,6941.094,29.606,1.184,3.5,0.0,4.684,99.95,92.55
6,"[0, 493, 492, 490, 518, 522, 523, 527, 530, 532, 533, 536, 537, 489, 514, 973, 995, 961, 962, 692, 706, 707, 0]",21,44.98,6876.832,12.761,0.51,3.5,0.0,4.01,99.95,91.69
7,"[0, 223, 218, 213, 207, 206, 228, 231, 233, 234, 235, 237, 238, 239, 242, 243, 244, 245, 246, 248, 249, 250, 252, 924, 931, 932, 933, 934, 951, 952, 957, 939, 251, 915, 0]",33,44.996,7018.341,11.635,0.465,5.5,0.0,5.965,99.99,93.58
8,"[0, 236, 247, 198, 199, 200, 201, 205, 203, 204, 208, 209, 210, 211, 212, 214, 215, 217, 216, 219, 220, 221, 222, 935, 923, 0]",24,44.982,6518.817,21.408,0.856,4.0,0.0,4.856,99.96,86.92
9,"[0, 926, 916, 914, 958, 946, 940, 937, 960, 959, 956, 955, 954, 953, 950, 949, 948, 947, 869, 814, 0]",19,44.971,6400.877,21.192,0.877,3.167,0.0,4.044,99.94,85.35
10,"[0, 913, 917, 918, 919, 920, 921, 922, 925, 927, 928, 929, 930, 936, 938, 941, 45, 0]",16,44.976,6748.832,18.568,0.743,2.667,0.0,3.409,99.95,89.98
11,"[0, 691, 690, 689, 693, 695, 696, 697, 698, 699, 700, 701, 702, 704, 708, 712, 733, 741, 742, 0]",18,44.978,6666.197,11.229,0.449,3.0,0.0,3.449,99.95,88.88
12,"[0, 525, 871, 872, 875, 879, 890, 892, 894, 898, 910, 911, 866, 870, 873, 874, 878, 880, 881, 883, 885, 886, 887, 900, 901, 867, 868, 877, 882, 612, 839, 997, 0]",31,44.99,7078.587,29.391,1.176,5.167,0.0,6.342,99.98,94.38
13,"[0, 705, 709, 710, 711, 713, 715, 716, 717, 718, 719, 721, 722, 723, 725, 726, 727, 728, 732, 311, 568, 0]",20,44.993,6604.515,23.852,0.954,3.333,0.0,4.287,99.98,88.06
14,"[0, 729, 730, 731, 734, 735, 736, 737, 738, 739, 740, 743, 714, 703, 291, 294, 297, 298, 299, 300, 301, 605, 175, 0]",22,44.975,6377.234,24.444,0.978,3.667,0.0,4.644,99.94,85.03
15,"[0, 876, 884, 888, 889, 891, 893, 895, 896, 897, 899, 902, 903, 905, 906, 907, 908, 909, 912, 904, 855, 857, 858, 0]",22,44.995,6273.737,13.318,0.533,3.667,0.0,4.199,99.99,83.65
16,"[0, 302, 303, 304, 305, 306, 307, 308, 309, 310, 312, 313, 259, 279, 292, 295, 293, 296, 253, 254, 255, 256, 257, 258, 631, 0]",24,44.98,6478.881,15.707,0.628,4.0,0.0,4.628,99.96,86.39
17,"[0, 963, 970, 988, 964, 965, 966, 968, 969, 971, 972, 974, 975, 976, 977, 978, 983, 979, 980, 982, 981, 984, 0]",21,44.978,6707.538,20.575,0.823,3.5,0.0,4.323,99.95,89.43
