ruta_id,orden_visita,node_id,es_deposito,tipo,direccion_original,direccion_normalizada,lat,lon
1,0,0,1,deposito,"Poeta Pedro Prado 1556, Santiago, Quinta Normal, Región Metropolitana, Chile","POETA PEDRO PRADO 1556, SANTIAGO, QUINTA NORMAL, REGIÓN METROPOLITANA, CHILE",-33.42748443128771,-70.68728138816309
1,1,633,0,cliente,Av. Mapocho 1103,AV. MAPOCHO 1103,-33.432762,-70.686501
1,2,634,0,cliente,Av. Mapocho 1166,AV. MAPOCHO 1166,-33.432762,-70.686501
1,3,635,0,cliente,Av. Mapocho 1251,AV. MAPOCHO 1251,-33.432762,-70.686501
1,4,636,0,cliente,Av. Mapocho 1329,AV. MAPOCHO 1329,-33.432762,-70.686501
1,5,637,0,cliente,Av. Mapocho 1404,AV. MAPOCHO 1404,-33.432762,-70.686501
1,6,638,0,cliente,Av. Mapocho 1503,AV. MAPOCHO 1503,-33.432762,-70.686501
1,7,640,0,cliente,Av. Mapocho 159,AV. MAPOCHO 159,-33.432762,-70.686501
1,8,641,0,cliente,Av. Mapocho 1601,AV. MAPOCHO 1601,-33.432762,-70.686501
1,9,643,0,cliente,Av. Mapocho 244,AV. MAPOCHO 244,-33.432762,-70.686501
1,10,647,0,cliente,Av. Mapocho 4034,AV. MAPOCHO 4034,-33.432762,-70.686501
1,11,649,0,cliente,Av. Mapocho 4268,AV. MAPOCHO 4268,-33.432762,-70.686501
1,12,650,0,cliente,Av. Mapocho 4335,AV. MAPOCHO 4335,-33.432762,-70.686501
1,13,651,0,cliente,Av. Mapocho 4491,AV. MAPOCHO 4491,-33.432762,-70.686501
1,14,652,0,cliente,Av. Mapocho 4504,AV. MAPOCHO 4504,-33.432762,-70.686501
1,15,653,0,cliente,Av. Mapocho 4637,AV. MAPOCHO 4637,-33.432762,-70.686501
1,16,654,0,cliente,Av. Mapocho 4652,AV. MAPOCHO 4652,-33.432762,-70.686501
1,17,655,0,cliente,Av. Mapocho 4726,AV. MAPOCHO 4726,-33.432762,-70.686501
1,18,656,0,cliente,Av. Mapocho 5003,AV. MAPOCHO 5003,-33.432762,-70.686501
1,19,657,0,cliente,Av. Mapocho 5094,AV. MAPOCHO 5094,-33.432762,-70.686501
1,20,658,0,cliente,Av. Mapocho 517,AV. MAPOCHO 517,-33.432762,-70.686501
1,21,226,0,cliente,Av. Independencia 6663,AV. INDEPENDENCIA 6663,-33.430113,-70.653323
1,22,232,0,cliente,Av. Independencia 7786,AV. INDEPENDENCIA 7786,-33.430113,-70.653323
1,23,240,0,cliente,Av. Independencia 8658,AV. INDEPENDENCIA 8658,-33.430113,-70.653323
1,24,720,0,cliente,Av. Matta 5760,AV. MATTA 5760,-33.45799120274538,-70.64211682398948
1,25,289,0,cliente,Av. Irarrázaval 515,AV. IRARRÁZAVAL 515,-33.4522702,-70.6253385
